1.00
1.40
0.10
  1328
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
   1141       0.403546     25875.     7.67874E-01     7.45188E-07     9.44838E-01
   1140       0.403569     25872.     7.67882E-01     7.45633E-07     9.44892E-01
   1139       0.403592     25869.     7.67888E-01     7.46078E-07     9.44946E-01
   1138       0.403615     25866.     7.67895E-01     7.46523E-07     9.45000E-01
   1137       0.403638     25863.     7.67900E-01     7.46968E-07     9.45054E-01
   1136       0.403661     25860.     7.67905E-01     7.47412E-07     9.45108E-01
   1135       0.403684     25857.     7.67909E-01     7.47856E-07     9.45162E-01
   1134       0.403708     25854.     7.67912E-01     7.48300E-07     9.45216E-01
   1133       0.403731     25851.     7.67915E-01     7.48743E-07     9.45270E-01
   1132       0.403754     25848.     7.67917E-01     7.49186E-07     9.45324E-01
   1131       0.403777     25845.     7.67918E-01     7.49629E-07     9.45378E-01
   1130       0.403800     25843.     7.67918E-01     7.50071E-07     9.45432E-01
   1129       0.403823     25840.     7.67918E-01     7.50513E-07     9.45486E-01
   1128       0.403846     25837.     7.67917E-01     7.50955E-07     9.45540E-01
   1127       0.403869     25834.     7.67915E-01     7.51396E-07     9.45594E-01
   1126       0.403892     25831.     7.67912E-01     7.51838E-07     9.45648E-01
   1125       0.403915     25828.     7.67909E-01     7.52278E-07     9.45702E-01
   1124       0.403938     25825.     7.67905E-01     7.52719E-07     9.45756E-01
   1123       0.403961     25822.     7.67901E-01     7.53159E-07     9.45810E-01
   1122       0.403984     25819.     7.67895E-01     7.53599E-07     9.45864E-01
   1121       0.404008     25816.     7.67889E-01     7.54038E-07     9.45918E-01
   1120       0.404031     25813.     7.67882E-01     7.54477E-07     9.45972E-01
   1119       0.404054     25810.     7.67875E-01     7.54916E-07     9.46026E-01
   1118       0.404077     25807.     7.67866E-01     7.55355E-07     9.46080E-01
   1117       0.404100     25804.     7.67857E-01     7.55793E-07     9.46135E-01
   1116       0.404123     25802.     7.67848E-01     7.56231E-07     9.46189E-01
   1115       0.404146     25799.     7.67837E-01     7.56668E-07     9.46243E-01
   1114       0.404169     25796.     7.67826E-01     7.57106E-07     9.46297E-01
   1113       0.404192     25793.     7.67814E-01     7.57543E-07     9.46351E-01
   1112       0.404215     25790.     7.67801E-01     7.57979E-07     9.46405E-01
   1111       0.404238     25787.     7.67788E-01     7.58416E-07     9.46459E-01
   1110       0.404262     25784.     7.67774E-01     7.58852E-07     9.46513E-01
   1109       0.404285     25781.     7.67759E-01     7.59287E-07     9.46567E-01
   1108       0.404308     25778.     7.67744E-01     7.59723E-07     9.46621E-01
   1107       0.404331     25775.     7.67727E-01     7.60158E-07     9.46675E-01
   1106       0.404354     25773.     7.67711E-01     7.60592E-07     9.46729E-01
   1105       0.404377     25770.     7.67693E-01     7.61027E-07     9.46784E-01
   1104       0.404400     25767.     7.67674E-01     7.61461E-07     9.46838E-01
   1103       0.404423     25764.     7.67655E-01     7.61895E-07     9.46892E-01
   1102       0.404446     25761.     7.67635E-01     7.62328E-07     9.46946E-01
   1101       0.404470     25758.     7.67615E-01     7.62762E-07     9.47000E-01
   1100       0.404493     25755.     7.67594E-01     7.63195E-07     9.47054E-01
   1099       0.404516     25753.     7.67572E-01     7.63627E-07     9.47108E-01
   1098       0.404539     25750.     7.67549E-01     7.64059E-07     9.47162E-01
   1097       0.404562     25747.     7.67525E-01     7.64491E-07     9.47216E-01
   1096       0.404585     25744.     7.67501E-01     7.64923E-07     9.47271E-01
   1095       0.404608     25741.     7.67476E-01     7.65355E-07     9.47325E-01
   1094       0.404631     25738.     7.67451E-01     7.65786E-07     9.47379E-01
   1093       0.404654     25736.     7.67424E-01     7.66216E-07     9.47433E-01
   1092       0.404678     25733.     7.67397E-01     7.66647E-07     9.47487E-01
   1091       0.404701     25730.     7.67370E-01     7.67077E-07     9.47541E-01
   1090       0.404724     25727.     7.67341E-01     7.67507E-07     9.47595E-01
   1089       0.404747     25724.     7.67312E-01     7.67936E-07     9.47650E-01
   1088       0.404770     25721.     7.67282E-01     7.68366E-07     9.47704E-01
   1087       0.404793     25719.     7.67251E-01     7.68795E-07     9.47758E-01
   1086       0.404816     25716.     7.67220E-01     7.69223E-07     9.47812E-01
   1085       0.404839     25713.     7.67188E-01     7.69652E-07     9.47866E-01
   1084       0.404863     25710.     7.67155E-01     7.70080E-07     9.47920E-01
   1083       0.404886     25707.     7.67122E-01     7.70507E-07     9.47975E-01
   1082       0.404909     25705.     7.67087E-01     7.70935E-07     9.48029E-01
   1081       0.404932     25702.     7.67052E-01     7.71362E-07     9.48083E-01
   1080       0.404955     25699.     7.67017E-01     7.71789E-07     9.48137E-01
   1079       0.404978     25696.     7.66980E-01     7.72215E-07     9.48191E-01
   1078       0.405001     25693.     7.66943E-01     7.72642E-07     9.48245E-01
   1077       0.405025     25691.     7.66905E-01     7.73067E-07     9.48300E-01
   1076       0.405048     25688.     7.66867E-01     7.73493E-07     9.48354E-01
   1075       0.405071     25685.     7.66827E-01     7.73918E-07     9.48408E-01
   1074       0.405094     25682.     7.66787E-01     7.74343E-07     9.48462E-01
   1073       0.405117     25679.     7.66747E-01     7.74768E-07     9.48516E-01
   1072       0.405140     25677.     7.66705E-01     7.75193E-07     9.48571E-01
   1071       0.405163     25674.     7.66663E-01     7.75617E-07     9.48625E-01
   1070       0.405187     25671.     7.66620E-01     7.76041E-07     9.48679E-01
   1069       0.405210     25668.     7.66576E-01     7.76464E-07     9.48733E-01
   1068       0.405233     25666.     7.66532E-01     7.76887E-07     9.48787E-01
   1067       0.405256     25663.     7.66487E-01     7.77310E-07     9.48842E-01
   1066       0.405279     25660.     7.66441E-01     7.77733E-07     9.48896E-01
   1065       0.405302     25657.     7.66395E-01     7.78155E-07     9.48950E-01
   1064       0.405326     25655.     7.66347E-01     7.78578E-07     9.49004E-01
   1063       0.405349     25652.     7.66299E-01     7.78999E-07     9.49059E-01
   1062       0.405372     25649.     7.66251E-01     7.79421E-07     9.49113E-01
   1061       0.405395     25646.     7.66201E-01     7.79842E-07     9.49167E-01
   1060       0.405418     25644.     7.66151E-01     7.80263E-07     9.49221E-01
   1059       0.405441     25641.     7.66100E-01     7.80684E-07     9.49275E-01
   1058       0.405465     25638.     7.66049E-01     7.81104E-07     9.49330E-01
   1057       0.405488     25636.     7.65997E-01     7.81524E-07     9.49384E-01
   1056       0.405511     25633.     7.65944E-01     7.81944E-07     9.49438E-01
   1055       0.405534     25630.     7.65890E-01     7.82363E-07     9.49492E-01
   1054       0.405557     25627.     7.65835E-01     7.82782E-07     9.49547E-01
   1053       0.405580     25625.     7.65780E-01     7.83201E-07     9.49601E-01
   1052       0.405604     25622.     7.65724E-01     7.83620E-07     9.49655E-01
   1051       0.405627     25619.     7.65668E-01     7.84038E-07     9.49710E-01
   1050       0.405650     25617.     7.65610E-01     7.84456E-07     9.49764E-01
   1049       0.405673     25614.     7.65552E-01     7.84874E-07     9.49818E-01
   1048       0.405696     25611.     7.65494E-01     7.85291E-07     9.49872E-01
   1047       0.405720     25608.     7.65434E-01     7.85708E-07     9.49927E-01
   1046       0.405743     25606.     7.65374E-01     7.86125E-07     9.49981E-01
   1045       0.405766     25603.     7.65313E-01     7.86541E-07     9.50035E-01
   1044       0.405789     25600.     7.65251E-01     7.86958E-07     9.50089E-01
   1043       0.405812     25598.     7.65189E-01     7.87374E-07     9.50144E-01
   1042       0.405835     25595.     7.65126E-01     7.87789E-07     9.50198E-01
   1041       0.405859     25592.     7.65062E-01     7.88205E-07     9.50252E-01
   1040       0.405882     25590.     7.64997E-01     7.88620E-07     9.50307E-01
   1039       0.405905     25587.     7.64932E-01     7.89035E-07     9.50361E-01
   1038       0.405928     25584.     7.64866E-01     7.89449E-07     9.50415E-01
   1037       0.405951     25582.     7.64799E-01     7.89863E-07     9.50470E-01
   1036       0.405975     25579.     7.64732E-01     7.90277E-07     9.50524E-01
   1035       0.405998     25576.     7.64663E-01     7.90691E-07     9.50578E-01
   1034       0.406021     25574.     7.64595E-01     7.91104E-07     9.50633E-01
   1033       0.406044     25571.     7.64525E-01     7.91518E-07     9.50687E-01
   1032       0.406067     25568.     7.64454E-01     7.91930E-07     9.50741E-01
   1031       0.406091     25566.     7.64383E-01     7.92343E-07     9.50796E-01
   1030       0.406114     25563.     7.64312E-01     7.92755E-07     9.50850E-01
   1029       0.406137     25560.     7.64239E-01     7.93167E-07     9.50904E-01
   1028       0.406160     25558.     7.64166E-01     7.93579E-07     9.50959E-01
   1027       0.406183     25555.     7.64092E-01     7.93990E-07     9.51013E-01
   1026       0.406207     25552.     7.64017E-01     7.94401E-07     9.51067E-01
   1025       0.406230     25550.     7.63942E-01     7.94812E-07     9.51122E-01
   1024       0.406253     25547.     7.63865E-01     7.95223E-07     9.51176E-01
   1023       0.406276     25544.     7.63788E-01     7.95633E-07     9.51230E-01
   1022       0.406300     25542.     7.63711E-01     7.96043E-07     9.51285E-01
   1021       0.406323     25539.     7.63632E-01     7.96453E-07     9.51339E-01
   1020       0.406346     25537.     7.63553E-01     7.96862E-07     9.51393E-01
   1019       0.406369     25534.     7.63473E-01     7.97271E-07     9.51448E-01
   1018       0.406392     25531.     7.63393E-01     7.97680E-07     9.51502E-01
   1017       0.406416     25529.     7.63312E-01     7.98089E-07     9.51556E-01
   1016       0.406439     25526.     7.63230E-01     7.98497E-07     9.51611E-01
   1015       0.406462     25524.     7.63147E-01     7.98905E-07     9.51665E-01
   1014       0.406485     25521.     7.63063E-01     7.99313E-07     9.51720E-01
   1013       0.406509     25518.     7.62979E-01     7.99720E-07     9.51774E-01
   1012       0.406532     25516.     7.62894E-01     8.00127E-07     9.51828E-01
   1011       0.406555     25513.     7.62809E-01     8.00534E-07     9.51883E-01
   1010       0.406578     25510.     7.62722E-01     8.00941E-07     9.51937E-01
   1009       0.406601     25508.     7.62635E-01     8.01347E-07     9.51992E-01
   1008       0.406625     25505.     7.62547E-01     8.01753E-07     9.52046E-01
   1007       0.406648     25503.     7.62459E-01     8.02159E-07     9.52100E-01
   1006       0.406671     25500.     7.62369E-01     8.02564E-07     9.52155E-01
   1005       0.406694     25498.     7.62279E-01     8.02970E-07     9.52209E-01
   1004       0.406718     25495.     7.62189E-01     8.03374E-07     9.52264E-01
   1003       0.406741     25492.     7.62097E-01     8.03779E-07     9.52318E-01
   1002       0.406764     25490.     7.62005E-01     8.04184E-07     9.52372E-01
   1001       0.406787     25487.     7.61912E-01     8.04588E-07     9.52427E-01
   1000       0.406811     25485.     7.61818E-01     8.04991E-07     9.52481E-01
    999       0.406834     25482.     7.61724E-01     8.05395E-07     9.52536E-01
    998       0.406857     25480.     7.61629E-01     8.05798E-07     9.52590E-01
    997       0.406880     25477.     7.61533E-01     8.06201E-07     9.52645E-01
    996       0.406904     25474.     7.61436E-01     8.06604E-07     9.52699E-01
    995       0.406927     25472.     7.61339E-01     8.07006E-07     9.52753E-01
    994       0.406950     25469.     7.61240E-01     8.07409E-07     9.52808E-01
    993       0.406973     25467.     7.61142E-01     8.07810E-07     9.52862E-01
    992       0.406997     25464.     7.61042E-01     8.08212E-07     9.52917E-01
    991       0.407020     25462.     7.60942E-01     8.08613E-07     9.52971E-01
    990       0.407043     25459.     7.60841E-01     8.09014E-07     9.53026E-01
    989       0.407066     25456.     7.60739E-01     8.09415E-07     9.53080E-01
    988       0.407090     25454.     7.60636E-01     8.09816E-07     9.53135E-01
    987       0.407113     25451.     7.60533E-01     8.10216E-07     9.53189E-01
    986       0.407136     25449.     7.60429E-01     8.10616E-07     9.53244E-01
    985       0.407159     25446.     7.60324E-01     8.11016E-07     9.53298E-01
    984       0.407183     25444.     7.60219E-01     8.11415E-07     9.53353E-01
    983       0.407206     25441.     7.60113E-01     8.11814E-07     9.53407E-01
    982       0.407229     25439.     7.60006E-01     8.12213E-07     9.53461E-01
    981       0.407253     25436.     7.59898E-01     8.12612E-07     9.53516E-01
    980       0.407276     25434.     7.59789E-01     8.13010E-07     9.53570E-01
    979       0.407299     25431.     7.59680E-01     8.13408E-07     9.53625E-01
    978       0.407322     25429.     7.59570E-01     8.13806E-07     9.53679E-01
    977       0.407346     25426.     7.59460E-01     8.14203E-07     9.53734E-01
    976       0.407369     25424.     7.59348E-01     8.14601E-07     9.53788E-01
    975       0.407392     25421.     7.59236E-01     8.14998E-07     9.53843E-01
    974       0.407415     25419.     7.59123E-01     8.15394E-07     9.53897E-01
    973       0.407439     25416.     7.59010E-01     8.15791E-07     9.53952E-01
    972       0.407462     25414.     7.58895E-01     8.16187E-07     9.54006E-01
    971       0.407485     25411.     7.58780E-01     8.16583E-07     9.54061E-01
    970       0.407509     25409.     7.58664E-01     8.16978E-07     9.54116E-01
    969       0.407532     25406.     7.58548E-01     8.17374E-07     9.54170E-01
    968       0.407555     25404.     7.58430E-01     8.17769E-07     9.54225E-01
    967       0.407578     25401.     7.58312E-01     8.18163E-07     9.54279E-01
    966       0.407602     25399.     7.58193E-01     8.18558E-07     9.54334E-01
