
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
   977       0.257469     16107.     5.25719E+00     2.23514E-06     9.52973E-01
   976       0.257484     16105.     5.25649E+00     2.23625E-06     9.53027E-01
   975       0.257499     16103.     5.25579E+00     2.23736E-06     9.53082E-01
   974       0.257514     16102.     5.25508E+00     2.23847E-06     9.53136E-01
   973       0.257528     16100.     5.25437E+00     2.23957E-06     9.53191E-01
   972       0.257543     16099.     5.25365E+00     2.24068E-06     9.53245E-01
   971       0.257558     16097.     5.25293E+00     2.24178E-06     9.53300E-01
   970       0.257572     16095.     5.25220E+00     2.24289E-06     9.53354E-01
   969       0.257587     16094.     5.25146E+00     2.24399E-06     9.53409E-01
   968       0.257602     16092.     5.25072E+00     2.24509E-06     9.53463E-01
   967       0.257617     16091.     5.24998E+00     2.24620E-06     9.53518E-01
   966       0.257631     16089.     5.24923E+00     2.24730E-06     9.53572E-01
   965       0.257646     16087.     5.24848E+00     2.24840E-06     9.53627E-01
   964       0.257661     16086.     5.24772E+00     2.24950E-06     9.53681E-01
   963       0.257676     16084.     5.24695E+00     2.25060E-06     9.53736E-01
   962       0.257690     16083.     5.24618E+00     2.25170E-06     9.53790E-01
   961       0.257705     16081.     5.24541E+00     2.25279E-06     9.53845E-01
   960       0.257720     16079.     5.24463E+00     2.25389E-06     9.53899E-01
   959       0.257734     16078.     5.24385E+00     2.25499E-06     9.53954E-01
   958       0.257749     16076.     5.24306E+00     2.25608E-06     9.54008E-01
   957       0.257764     16075.     5.24226E+00     2.25717E-06     9.54063E-01
   956       0.257779     16073.     5.24146E+00     2.25827E-06     9.54117E-01
   955       0.257793     16071.     5.24065E+00     2.25936E-06     9.54172E-01
   954       0.257808     16070.     5.23984E+00     2.26045E-06     9.54226E-01
   953       0.257823     16068.     5.23903E+00     2.26155E-06     9.54281E-01
   952       0.257838     16067.     5.23821E+00     2.26264E-06     9.54335E-01
   951       0.257852     16065.     5.23738E+00     2.26373E-06     9.54390E-01
   950       0.257867     16064.     5.23655E+00     2.26482E-06     9.54444E-01
   949       0.257882     16062.     5.23571E+00     2.26590E-06     9.54499E-01
   948       0.257896     16060.     5.23487E+00     2.26699E-06     9.54553E-01
   947       0.257911     16059.     5.23403E+00     2.26808E-06     9.54608E-01
   946       0.257926     16057.     5.23317E+00     2.26916E-06     9.54663E-01
