
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc
   597       0.311863      1883.     5.07155E+00     3.63161E-06     9.65968E-01
   596       0.311898      1883.     5.06739E+00     3.63435E-06     9.66078E-01
   595       0.311934      1883.     5.06319E+00     3.63709E-06     9.66189E-01
   594       0.311969      1883.     5.05898E+00     3.63982E-06     9.66299E-01
   593       0.312005      1882.     5.05473E+00     3.64255E-06     9.66409E-01
   592       0.312041      1882.     5.05047E+00     3.64527E-06     9.66520E-01
   591       0.312076      1882.     5.04617E+00     3.64799E-06     9.66630E-01
   590       0.312112      1881.     5.04185E+00     3.65071E-06     9.66741E-01
   589       0.312148      1881.     5.03750E+00     3.65342E-06     9.66851E-01
   588       0.312183      1881.     5.03312E+00     3.65612E-06     9.66962E-01
   587       0.312219      1880.     5.02872E+00     3.65883E-06     9.67072E-01
   586       0.312255      1880.     5.02429E+00     3.66152E-06     9.67183E-01
   585       0.312290      1880.     5.01983E+00     3.66422E-06     9.67293E-01
   584       0.312326      1879.     5.01534E+00     3.66691E-06     9.67404E-01
   583       0.312362      1879.     5.01083E+00     3.66959E-06     9.67515E-01
   582       0.312398      1879.     5.00629E+00     3.67227E-06     9.67625E-01
   581       0.312433      1878.     5.00172E+00     3.67495E-06     9.67736E-01
   580       0.312469      1878.     4.99713E+00     3.67762E-06     9.67846E-01
   579       0.312505      1878.     4.99251E+00     3.68029E-06     9.67957E-01
   578       0.312540      1878.     4.98786E+00     3.68295E-06     9.68068E-01
   577       0.312576      1877.     4.98318E+00     3.68561E-06     9.68178E-01
   576       0.312612      1877.     4.97847E+00     3.68826E-06     9.68289E-01
   575       0.312648      1877.     4.97374E+00     3.69091E-06     9.68400E-01
   574       0.312683      1876.     4.96898E+00     3.69356E-06     9.68510E-01
   573       0.312719      1876.     4.96419E+00     3.69620E-06     9.68621E-01
   572       0.312755      1876.     4.95937E+00     3.69884E-06     9.68732E-01
   571       0.312791      1875.     4.95452E+00     3.70147E-06     9.68842E-01
   570       0.312826      1875.     4.94965E+00     3.70410E-06     9.68953E-01
   569       0.312862      1875.     4.94474E+00     3.70672E-06     9.69064E-01
   568       0.312898      1875.     4.93981E+00     3.70934E-06     9.69175E-01
   567       0.312934      1874.     4.93485E+00     3.71195E-06     9.69285E-01
   566       0.312969      1874.     4.92986E+00     3.71456E-06     9.69396E-01
   565       0.313005      1874.     4.92484E+00     3.71717E-06     9.69507E-01
   564       0.313041      1873.     4.91979E+00     3.71977E-06     9.69618E-01
   563       0.313077      1873.     4.91471E+00     3.72237E-06     9.69729E-01
   562       0.313112      1873.     4.90960E+00     3.72496E-06     9.69839E-01
   561       0.313148      1872.     4.90446E+00     3.72755E-06     9.69950E-01
   560       0.313184      1872.     4.89930E+00     3.73013E-06     9.70061E-01
   559       0.313220      1872.     4.89410E+00     3.73271E-06     9.70172E-01
   558       0.313256      1872.     4.88887E+00     3.73529E-06     9.70283E-01
   557       0.313291      1871.     4.88362E+00     3.73786E-06     9.70394E-01
   556       0.313327      1871.     4.87833E+00     3.74042E-06     9.70505E-01
   555       0.313363      1871.     4.87302E+00     3.74298E-06     9.70616E-01
