
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc
  1069       0.258156     16290.     5.07886E+00     2.11315E-06     9.50037E-01
  1068       0.258171     16288.     5.07845E+00     2.11427E-06     9.50091E-01
  1067       0.258186     16286.     5.07804E+00     2.11539E-06     9.50145E-01
  1066       0.258200     16284.     5.07762E+00     2.11650E-06     9.50199E-01
  1065       0.258215     16283.     5.07719E+00     2.11762E-06     9.50254E-01
  1064       0.258230     16281.     5.07677E+00     2.11874E-06     9.50308E-01
  1063       0.258245     16279.     5.07633E+00     2.11985E-06     9.50362E-01
  1062       0.258259     16278.     5.07590E+00     2.12097E-06     9.50417E-01
  1061       0.258274     16276.     5.07545E+00     2.12208E-06     9.50471E-01
  1060       0.258289     16274.     5.07501E+00     2.12319E-06     9.50525E-01
  1059       0.258304     16272.     5.07456E+00     2.12430E-06     9.50580E-01
  1058       0.258318     16271.     5.07410E+00     2.12542E-06     9.50634E-01
  1057       0.258333     16269.     5.07364E+00     2.12653E-06     9.50688E-01
  1056       0.258348     16267.     5.07317E+00     2.12764E-06     9.50743E-01
  1055       0.258363     16266.     5.07270E+00     2.12874E-06     9.50797E-01
  1054       0.258377     16264.     5.07222E+00     2.12985E-06     9.50851E-01
  1053       0.258392     16262.     5.07174E+00     2.13096E-06     9.50906E-01
  1052       0.258407     16261.     5.07126E+00     2.13207E-06     9.50960E-01
  1051       0.258422     16259.     5.07077E+00     2.13317E-06     9.51014E-01
  1050       0.258437     16257.     5.07027E+00     2.13428E-06     9.51069E-01
  1049       0.258451     16256.     5.06977E+00     2.13538E-06     9.51123E-01
  1048       0.258466     16254.     5.06927E+00     2.13649E-06     9.51177E-01
  1047       0.258481     16252.     5.06876E+00     2.13759E-06     9.51232E-01
  1046       0.258496     16251.     5.06824E+00     2.13869E-06     9.51286E-01
  1045       0.258510     16249.     5.06773E+00     2.13979E-06     9.51340E-01
  1044       0.258525     16247.     5.06720E+00     2.14089E-06     9.51395E-01
  1043       0.258540     16246.     5.06667E+00     2.14199E-06     9.51449E-01
  1042       0.258555     16244.     5.06614E+00     2.14309E-06     9.51503E-01
  1041       0.258569     16242.     5.06560E+00     2.14419E-06     9.51558E-01
  1040       0.258584     16241.     5.06506E+00     2.14529E-06     9.51612E-01
  1039       0.258599     16239.     5.06451E+00     2.14638E-06     9.51667E-01
  1038       0.258614     16237.     5.06395E+00     2.14748E-06     9.51721E-01
  1037       0.258629     16236.     5.06340E+00     2.14857E-06     9.51775E-01
